accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,host_age_days,days_since_last_review,avg_review_score,accommodates_bedrooms,min_nights_reviews,season,distance_to_center_km,host_is_superhost,instant_bookable,host_has_profile_pic_binary,host_identity_verified_binary,Has_Wifi,Has_Kitchen,Has_Heating,Has_TV,Has_Essentials,Has_Hair_Dryer,Has_Iron,Has_Free_Parking,Has_Hangers,Has_Laptop_Friendly_Workspace,price
4,1.0,2.0,3.0,28,1125,76,4.97,4164,23.0,4.982857142857143,8.0,2128,2.0,4.946547608003342,t,f,1,1,0,0,0,0,0,0,0,0,0,0,120.0
2,1.0,0.0,1.0,90,360,95,4.84,4140,2068.0,4.887142857142857,0.0,8550,3.0,0.19758830294083643,f,f,1,1,0,0,0,0,0,0,0,0,0,0,185.0
3,1.0,1.0,2.0,90,180,226,4.96,4175,20.0,4.945714285714287,3.0,20340,2.0,5.580354071047669,t,f,1,1,0,0,0,0,0,0,0,0,0,0,149.0
2,1.0,1.0,1.0,90,180,11,4.73,4277,683.0,4.801428571428572,2.0,990,2.0,1.0582802264102533,f,f,1,1,0,0,0,0,0,0,0,0,0,0,175.0
3,1.0,1.0,1.0,5,60,26,4.81,4772,275.0,4.869999999999999,3.0,130,3.0,2.716229698055034,f,f,1,1,0,0,0,0,0,0,0,0,0,0,357.0
4,1.0,2.0,2.0,4,730,52,4.75,5044,305.0,4.799999999999999,8.0,208,2.0,4.907014575099185,f,f,1,1,0,0,0,0,0,0,0,0,0,0,175.0
2,1.0,1.0,1.0,90,365,8,4.88,4582,602.0,4.93,2.0,720,3.0,2.679171749215725,t,f,1,1,0,0,0,0,0,0,0,0,0,0,80.0
2,1.0,1.0,2.0,2,1125,830,4.92,4101,2.0,4.9399999999999995,2.0,1660,2.0,3.3926447726411153,t,t,1,1,0,0,0,0,0,0,0,0,0,0,120.0
4,1.0,1.0,2.0,1,40,542,4.72,4093,9.0,4.7299999999999995,4.0,542,2.0,0.39829392976123584,f,t,1,1,0,0,0,0,0,0,0,0,0,0,249.0
2,1.0,1.0,1.0,90,1125,16,4.81,4090,309.0,4.864285714285714,2.0,1440,2.0,6.520209279014684,t,f,1,1,0,0,0,0,0,0,0,0,0,0,99.0
4,2.0,2.0,2.0,90,730,110,4.95,4150,60.0,4.944285714285714,8.0,9900,1.0,2.375068062017345,t,f,1,0,0,0,0,0,0,0,0,0,0,0,600.0
2,1.0,1.0,1.0,1,1125,116,4.47,4085,36.0,4.551428571428571,2.0,116,1.0,5.001744827422373,f,f,1,1,0,0,0,0,0,0,0,0,0,0,72.0
6,2.0,2.0,4.0,1,366,213,4.87,5655,64.0,4.851428571428571,12.0,213,1.0,0.5267601262783522,,f,1,1,0,0,0,0,0,0,0,0,0,0,530.0
2,1.0,0.0,1.0,2,90,530,4.95,4397,10.0,4.902857142857143,0.0,1060,2.0,1.2536769861162589,t,f,1,0,0,0,0,0,0,0,0,0,0,0,279.0
2,1.0,1.0,1.0,90,1125,103,4.64,4355,23.0,4.7057142857142855,2.0,9270,2.0,0.4405831815345246,f,f,1,1,0,0,0,0,0,0,0,0,0,0,100.0
2,1.0,1.0,1.0,2,20,487,4.82,4726,10.0,4.867142857142857,2.0,974,2.0,1.573723559741589,t,f,1,1,0,0,0,0,0,0,0,0,0,0,113.0
8,1.0,4.0,3.0,2,14,3,4.0,4083,3136.0,4.8100000000000005,32.0,6,3.0,4.420292805236493,f,f,1,1,0,0,0,0,0,0,0,0,0,0,722.0
4,1.0,1.0,1.0,90,1125,12,4.5,5782,671.0,4.548571428571429,4.0,1080,2.0,0.23635059680647513,f,f,1,1,0,0,0,0,0,0,0,0,0,0,146.0
3,1.0,1.0,1.0,1,1125,344,4.9,4216,4.0,4.897142857142858,3.0,344,2.0,4.884935903271993,t,f,1,1,0,0,0,0,0,0,0,0,0,0,180.0
4,1.0,2.0,2.0,1,365,75,4.79,4920,23.0,4.782857142857144,8.0,75,2.0,1.0999543960861113,t,f,1,1,0,0,0,0,0,0,0,0,0,0,250.0
4,1.5,2.0,2.0,90,180,24,4.96,4292,1007.0,4.93,8.0,2160,3.0,0.39778722314826265,f,f,1,1,0,0,0,0,0,0,0,0,0,0,400.0
2,1.0,1.0,1.0,28,365,58,4.62,4577,169.0,4.707142857142857,2.0,1624,0.0,7.392531843722836,t,f,1,1,0,0,0,0,0,0,0,0,0,0,50.0
2,1.0,1.0,1.0,90,180,55,4.87,4046,268.0,4.925714285714286,2.0,4950,3.0,3.858824392520387,f,f,1,1,0,0,0,0,0,0,0,0,0,0,120.0
2,1.0,1.0,1.0,3,70,177,4.95,5075,9.0,4.941428571428571,2.0,531,2.0,1.1943282209507222,t,f,1,1,0,0,0,0,0,0,0,0,0,0,180.0
6,2.0,2.0,3.0,30,1125,6,4.33,4758,35.0,4.427142857142856,12.0,180,1.0,0.4172232549572231,t,f,1,1,0,0,0,0,0,0,0,0,0,0,352.0
